name,"smiles","Standard Type","Standard Relation","Standard Value","Standard Units","Target ChEMBL ID","Database","Activity"
"CHEMBL10","C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1","Kd",">",10000,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL440084","NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1","Kd",">",10000,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL267071","OCC1OC(n2cnc3cc(Cl)c(Cl)cc32)C(O)C1O","Ki","=",1995.26,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL535","CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C","Kd",">",10000,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL14762","CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1","Kd",">",10000,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL428690","CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1","Kd","=",120,"nM","CHEMBL5719","ChEMBL",1
"CHEMBL553","C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1","Kd",">",10000,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL554","CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1","Kd",">",10000,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL278041","Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1","Kd",">",10000,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL21156","CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1","Ki",">",3981.07,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL24828","COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1","Kd",">",10000,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL31965","C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1","Kd",">",10000,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL38380","O=S(=O)(c1cccc2cnccc12)N1CCCNCC1","Ki","=",1258.93,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL406845","CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21","Ki","=",794.33,"nM","CHEMBL5719","ChEMBL",1
"CHEMBL288441","COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl","Kd",">",10000,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL296468","CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1","Kd","=",1200,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL296468","CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1","Ki","=",199.53,"nM","CHEMBL5719","ChEMBL",1
"CHEMBL49120","CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1","Ki",">",3981.07,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL52387","CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1","Ki",">",3981.07,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL50894","O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1","Ki","=",794.33,"nM","CHEMBL5719","ChEMBL",1
"CHEMBL300138","Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21","Kd",">",10000,"nM","CHEMBL5719","ChEMBL",0
"CHEMBL939","COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1","Kd",">",10000,"nM","CHEMBL5719","ChEMBL",0
