,CHEMBL4082699,CHEMBL4225966,CHEMBL1972346,CHEMBL4648955,CHEMBL1998159,CHEMBL1971943,CHEMBL2002471,CHEMBL1978371,CHEMBL4097778,CHEMBL1991734,CHEMBL1988581,CHEMBL1973359,CHEMBL3800399,CHEMBL3828084,CHEMBL4791276,CHEMBL1983715,CHEMBL1983980,CHEMBL296468,CHEMBL3361254,CHEMBL1997275,CHEMBL1996576,CHEMBL2004025,CHEMBL4777657,CHEMBL1992042,CHEMBL4855789,P162-0948,CHEMBL5187943,CHEMBL225519,CHEMBL4104223,CHEMBL1970340,CHEMBL1977749
CHEMBL4082699,1.0,0.08450704225352113,0.034482758620689655,0.08433734939759036,0.06593406593406594,0.05813953488372093,0.08955223880597014,0.09210526315789473,0.08791208791208792,0.047619047619047616,0.056338028169014086,0.03896103896103896,0.08421052631578947,0.07317073170731707,0.0641025641025641,0.09195402298850575,0.10526315789473684,0.1125,0.09090909090909091,0.05128205128205128,0.06741573033707865,0.05194805194805195,0.030303030303030304,0.05434782608695652,0.09859154929577464,0.046511627906976744,0.058823529411764705,0.07692307692307693,0.07894736842105263,0.04411764705882353,0.02631578947368421
CHEMBL4225966,0.08450704225352113,1.0,0.016666666666666666,0.05813953488372093,0.06521739130434782,0.09523809523809523,0.027777777777777776,0.024390243902439025,0.0989010989010989,0.06349206349206349,0.08571428571428572,0.05194805194805195,0.08333333333333333,0.1125,0.05,0.10344827586206896,0.09278350515463918,0.0975609756097561,0.07777777777777778,0.0375,0.10344827586206896,0.025,0.03,0.0425531914893617,0.039473684210526314,0.03409090909090909,0.04597701149425287,0.09230769230769231,0.09210526315789473,0.02857142857142857,0.01282051282051282
CHEMBL1972346,0.034482758620689655,0.016666666666666666,1.0,0.04225352112676056,0.06578947368421052,0.07142857142857142,0.09615384615384616,0.06349206349206349,0.0375,0.08695652173913043,0.11320754716981132,0.06666666666666667,0.06097560975609756,0.058823529411764705,0.08064516129032258,0.05333333333333334,0.047058823529411764,0.057971014492753624,0.05263157894736842,0.1,0.06756756756756757,0.1206896551724138,0.075,0.06578947368421052,0.06896551724137931,0.07246376811594203,0.07246376811594203,0.08,0.08196721311475409,0.14583333333333334,0.10714285714285714
CHEMBL4648955,0.08433734939759036,0.05813953488372093,0.04225352112676056,1.0,0.1326530612244898,0.07142857142857142,0.14473684210526316,0.10227272727272728,0.0761904761904762,0.08108108108108109,0.08536585365853659,0.03296703296703297,0.14705882352941177,0.07368421052631578,0.11494252873563218,0.04807692307692308,0.043859649122807015,0.09574468085106383,0.0784313725490196,0.07865168539325842,0.05825242718446602,0.06741573033707865,0.07407407407407407,0.07766990291262135,0.05747126436781609,0.050505050505050504,0.061224489795918366,0.09090909090909091,0.07865168539325842,0.0625,0.045454545454545456
CHEMBL1998159,0.06593406593406594,0.06521739130434782,0.06578947368421052,0.1326530612244898,1.0,0.13131313131313133,0.14634146341463414,0.061224489795918366,0.07142857142857142,0.10126582278481013,0.09090909090909091,0.06315789473684211,0.12727272727272726,0.10101010101010101,0.10638297872340426,0.09433962264150944,0.09565217391304348,0.1,0.08333333333333333,0.13186813186813187,0.13725490196078433,0.10869565217391304,0.11818181818181818,0.09259259259259259,0.125,0.12121212121212122,0.16842105263157894,0.12345679012345678,0.11956521739130435,0.10843373493975904,0.1
CHEMBL1971943,0.05813953488372093,0.09523809523809523,0.07142857142857142,0.07142857142857142,0.13131313131313133,1.0,0.15789473684210525,0.06521739130434782,0.045871559633027525,0.0945945945945946,0.1111111111111111,0.06741573033707865,0.09259259259259259,0.09574468085106383,0.10112359550561797,0.14583333333333334,0.05263157894736842,0.08333333333333333,0.08823529411764706,0.10227272727272728,0.057692307692307696,0.12941176470588237,0.14705882352941177,0.09803921568627451,0.12048192771084337,0.12903225806451613,0.14130434782608695,0.1038961038961039,0.10227272727272728,0.10256410256410256,0.056818181818181816
CHEMBL2002471,0.08955223880597014,0.027777777777777776,0.09615384615384616,0.14473684210526316,0.14634146341463414,0.15789473684210525,1.0,0.1111111111111111,0.043478260869565216,0.10526315789473684,0.09090909090909091,0.06944444444444445,0.12359550561797752,0.1038961038961039,0.1111111111111111,0.06976744186046512,0.07368421052631578,0.08860759493670886,0.08139534883720931,0.12857142857142856,0.08235294117647059,0.08333333333333333,0.1,0.056179775280898875,0.08695652173913043,0.07407407407407407,0.07407407407407407,0.09836065573770492,0.09722222222222222,0.11475409836065574,0.08695652173913043
CHEMBL1978371,0.09210526315789473,0.024390243902439025,0.06349206349206349,0.10227272727272728,0.061224489795918366,0.06521739130434782,0.1111111111111111,1.0,0.11578947368421053,0.12307692307692308,0.07894736842105263,0.0875,0.0891089108910891,0.09195402298850575,0.08433734939759036,0.0851063829787234,0.10891089108910891,0.07865168539325842,0.08421052631578947,0.09876543209876543,0.10869565217391304,0.08641975308641975,0.12371134020618557,0.13043478260869565,0.13333333333333333,0.10227272727272728,0.10227272727272728,0.1,0.09876543209876543,0.11428571428571428,0.13333333333333333
CHEMBL4097778,0.08791208791208792,0.0989010989010989,0.0375,0.0761904761904762,0.07142857142857142,0.045871559633027525,0.043478260869565216,0.11578947368421053,1.0,0.14102564102564102,0.10112359550561797,0.08421052631578947,0.14545454545454545,0.12121212121212122,0.10416666666666667,0.102803738317757,0.13274336283185842,0.09803921568627451,0.11214953271028037,0.09375,0.102803738317757,0.09473684210526316,0.11607142857142858,0.08108108108108109,0.07446808510638298,0.0761904761904762,0.0660377358490566,0.09411764705882353,0.10526315789473684,0.06818181818181818,0.07446808510638298
CHEMBL1991734,0.047619047619047616,0.06349206349206349,0.08695652173913043,0.08108108108108109,0.10126582278481013,0.0945945945945946,0.10526315789473684,0.12307692307692308,0.14102564102564102,1.0,0.1016949152542373,0.07692307692307693,0.12048192771084337,0.11428571428571428,0.10606060606060606,0.0625,0.07954545454545454,0.06756756756756757,0.06172839506172839,0.1076923076923077,0.0759493670886076,0.09230769230769231,0.12195121951219512,0.11538461538461539,0.11475409836065574,0.06666666666666667,0.06666666666666667,0.07142857142857142,0.09090909090909091,0.12962962962962962,0.11475409836065574
CHEMBL1988581,0.056338028169014086,0.08571428571428572,0.11320754716981132,0.08536585365853659,0.09090909090909091,0.1111111111111111,0.09090909090909091,0.07894736842105263,0.10112359550561797,0.1016949152542373,1.0,0.12857142857142856,0.0967741935483871,0.11538461538461539,0.1388888888888889,0.13253012048192772,0.09473684210526316,0.1,0.07954545454545454,0.0945945945945946,0.08045977011494253,0.1111111111111111,0.10989010989010989,0.07865168539325842,0.08450704225352113,0.1125,0.14102564102564102,0.11290322580645161,0.1095890410958904,0.1111111111111111,0.1
CHEMBL1973359,0.03896103896103896,0.05194805194805195,0.06666666666666667,0.03296703296703297,0.06315789473684211,0.06741573033707865,0.06944444444444445,0.0875,0.08421052631578947,0.07692307692307693,0.12857142857142856,1.0,0.0594059405940594,0.13580246913580246,0.16,0.11235955056179775,0.10101010101010101,0.09411764705882353,0.1111111111111111,0.06172839506172839,0.07608695652173914,0.0759493670886076,0.10416666666666667,0.09782608695652174,0.05128205128205128,0.13253012048192772,0.10588235294117647,0.08823529411764706,0.11688311688311688,0.11940298507462686,0.09333333333333334
